,0
JD,2459985
Date,2-9-2023
LST Range,3.841 -- 13.797 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,1850
Total Number of Antennas,198
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 10 dish_ok: 1 RF_maintenance: 50 RF_ok: 19 digital_ok: 93 not_connected: 25
Commanded Signal Source,None
Antennas in Commanded State (reported),0 / 198 (0.0%)
Antennas in Commanded State (observed),0 / 198 (0.0%)
Cross-Polarized Antennas,
Total Number of Nodes,19
Nodes Registering 0s,
Nodes Not Correlating,
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,53 / 198 (26.8%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,122 / 198 (61.6%)
Redcal Done?,N
Never Flagged Antennas,76 / 198 (38.4%)
A Priori Good Antennas Flagged,"50 / 93 total a priori good antennas: 3, 7, 15, 16, 29, 30, 37, 38, 40, 42, 45, 53, 54, 55, 65, 67, 71, 72, 81, 86, 88, 94, 101, 103, 107, 109, 111, 121, 122, 123, 128, 136, 140, 144, 149, 151, 158, 161, 165, 170, 173, 181, 182, 185, 187, 189, 191, 192, 193, 202"
A Priori Bad Antennas Not Flagged,"33 / 105 total a priori bad antennas: 8, 22, 35, 43, 46, 48, 49, 61, 62, 64, 73, 74, 89, 115, 125, 132, 133, 137, 139, 166, 179, 223, 228, 229, 237, 238, 239, 241, 245, 261, 324, 325, 333"
